,Image,RAM_Tags,YOLO_Tags
144,2422.jpg,bicycle | blue | boy | child | girl | ride | road | scooter | tricycle | yellow,"4 person, 7 car, 1 bus, 2 traffic light"
145,2436.jpg,bus | car | city bus | city street | crack | curb | drain | drive | intersection | road | street corner,"1 person, 9 car, 1 bus, 1 truck, 1 traffic light"
146,2450.jpg,blue | bus | bus stop | city bus | crack | curb | drain | drive | manhole | manhole cover | road | tour bus,"1 person, 10 car, 1 bus, 1 truck, 1 traffic light"
147,2464.jpg,blue | bus | city bus | crack | curb | drain | drive | manhole | manhole cover | road | tour bus | yellow,"4 person, 12 car, 1 truck, 1 traffic light"
148,2478.jpg,bus | city bus | city street | crack | curb | drain | drive | intersection | manhole cover | road | school bus | yellow,"6 person, 9 car, 1 truck, 1 traffic light"
149,2492.jpg,bus | car | city bus | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | school bus | street corner | yellow,"3 person, 6 car, 1 truck, 1 traffic light"
150,2506.jpg,car | city street | crack | crosswalk | curb | drain | drive | intersection | manhole cover | road | street corner,"1 person, 13 car, 1 truck, 2 traffic light"
151,2520.jpg,black | car | city street | crack | crosswalk | curb | drain | drive | intersection | park | road | sedan | street corner | suv,"5 person, 10 car, 1 truck, 1 traffic light"
152,2534.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole cover | park | road | street corner,"12 car, 1 truck, 1 traffic light"
153,2548.jpg,car | city street | crack | curb | drain | drive | intersection | park | road | street corner | van | white,"2 person, 13 car, 1 truck, 1 traffic light"
154,2562.jpg,car | city street | crack | curb | drain | drive | intersection | park | road | street corner | van | white,"4 person, 14 car, 1 traffic light"
155,2576.jpg,car | city street | crack | crosswalk | curb | drain | intersection | man | manhole | manhole cover | ride | road | scooter | skateboarder | street corner,"6 person, 9 car, 1 traffic light"
156,2590.jpg,blue | crosswalk | drive | person | intersection | man | moped | motorbike | motorcycle | ride | road | scooter | woman,"6 person, 8 car, 1 truck, 1 traffic light, 1 skateboard"
157,2604.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 8 car, 1 traffic light"
158,2618.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"6 person, 10 car, 1 traffic light"
159,2632.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 10 car, 1 traffic light"
160,2646.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 10 car, 1 traffic light"
161,2660.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 10 car, 1 traffic light"
162,2674.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 5 car, 1 traffic light"
163,2688.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"3 person, 8 car, 1 traffic light"
164,2702.jpg,car | city street | crack | crosswalk | curb | drain | drive | intersection | manhole cover | park | road | street corner,"1 person, 13 car, 1 traffic light"
165,2716.jpg,car | city street | crack | crosswalk | curb | drain | drive | intersection | manhole | manhole cover | road | street corner,"5 person, 13 car, 1 traffic light"
166,2730.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 14 car, 1 traffic light"
167,2744.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 16 car, 1 traffic light"
168,2758.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"4 person, 12 car, 1 traffic light"
169,2772.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 11 car, 1 traffic light"
170,2786.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"5 person, 12 car, 1 traffic light"
171,2800.jpg,car | city street | crack | crosswalk | curb | drain | intersection | manhole | manhole cover | road | street corner,"14 car, 1 traffic light"
172,2814.jpg,car | city street | crack | crosswalk | curb | drain | drive | intersection | park | road | sedan | silver | street corner | white,"4 person, 10 car, 1 traffic light"
